沃士加（仙桥店）,西餐,41011064,329674355767016353789454960452192878330_a41011064_c1_e4122601436882663831
Annie和她的小伙伴,西餐,98196214,112878875198594555302030475904819747906_a98196214_c2_e4122601436882663831_v4892353382210178990__45
忠诚饼包屋（仙桥店）,糕点店,41110412,329674355767016353789454960452192878330_a41110412_c3_e4122601436882663831
特种冰（仙桥店）,奶茶/果汁,67563553,329674355767016353789454960452192878330_a67563553_c4_e4122601436882663831
洪信美粿面馆,面条,193036785,329674355767016353789454960452192878330_a193036785_c5_e4122601436882663831
牛皇叔（东方康宁店）,综合自助,42045920,329674355767016353789454960452192878330_a42045920_c6_e4122601436882663831
樱之谷日式烤肉,日式烧烤/烤肉,195153771,112878875198594555302030475904819747906_a195153771_c7_e4122601436882663831_v4892353382210178990__462
华莱士·全鸡汉堡（学宫店）,汉堡,165046497,329674355767016353789454960452192878330_a165046497_c8_e4122601436882663831
华莱士·全鸡汉堡（上义店）,汉堡,169025896,329674355767016353789454960452192878330_a169025896_c9_e4122601436882663831
贝多分卜卜贝,特色火锅,162775028,329674355767016353789454960452192878330_a162775028_c10_e4122601436882663831
大食八（榕城店）,饺子,178763150,329674355767016353789454960452192878330_a178763150_c11_e4122601436882663831
愿者上钩（揭阳东山店）,烤鱼,1193271759,112878875198594555302030475904819747906_a1193271759_c12_e4122601436882663831_v4892353382210178990__355
老地方鲜鱼馆（榕城店）,酸菜鱼/水煮鱼,41974222,329674355767016353789454960452192878330_a41974222_c13_e4122601436882663831
哇烤韩式自助烤肉（江南新城店）,烤肉自助,40295948,329674355767016353789454960452192878330_a40295948_c14_e4122601436882663831
忠诚（江南新城店）,甜点饮品,192857356,334536225270975820606129828032096172586_a192857356_c0_e8508765188854623268_nareaid12391
海鲜大咖（榕城店）,海鲜,159674206,334536225270975820606129828032096172586_a159674206_c1_e8508765188854623268_nareaid12391
奇果乐（江南新城店）,奶茶/果汁,160123573,334536225270975820606129828032096172586_a160123573_c2_e8508765188854623268_nareaid12391
金记鲜活牛肉城（江南店）,潮汕牛肉火锅,161090272,334536225270975820606129828032096172586_a161090272_c3_e8508765188854623268_nareaid12391
欧拉·西餐厅,牛排,4198485,334536225270975820606129828032096172586_a4198485_c4_e8508765188854623268_nareaid12391
YIBEIZIcake伊贝紫（江南新城店）,蛋糕,79026503,334536225270975820606129828032096172586_a79026503_c5_e8508765188854623268_nareaid12391
W·遇见你,奶茶/果汁,194668623,334536225270975820606129828032096172586_a194668623_c6_e8508765188854623268_nareaid12391
逸果坊炒酸奶,甜点饮品,41051944,334536225270975820606129828032096172586_a41051944_c7_e8508765188854623268_nareaid12391
贡鱼UFO太空舱烤鱼（江南新城店）,烤鱼,161097986,334536225270975820606129828032096172586_a161097986_c8_e8508765188854623268_nareaid12391
华莱士·全鸡汉堡（仙桥店）,汉堡,170568933,329674355767016353789454960452192878330_a170568933_c0_e7659100798278394375
沃士加（仙桥店）,西餐,41011064,329674355767016353789454960452192878330_a41011064_c1_e7659100798278394375
Annie和她的小伙伴,西餐,98196214,112878875198594555302030475904819747906_a98196214_c2_e7659100798278394375_v4892353965199669371__46
忠诚饼包屋（仙桥店）,糕点店,41110412,329674355767016353789454960452192878330_a41110412_c3_e7659100798278394375
特种冰（仙桥店）,奶茶/果汁,67563553,329674355767016353789454960452192878330_a67563553_c4_e7659100798278394375
洪信美粿面馆,面条,193036785,329674355767016353789454960452192878330_a193036785_c5_e7659100798278394375
牛皇叔（东方康宁店）,综合自助,42045920,329674355767016353789454960452192878330_a42045920_c6_e7659100798278394375
樱之谷日式烤肉,日式烧烤/烤肉,195153771,112878875198594555302030475904819747906_a195153771_c7_e7659100798278394375_v4892353965199669371__462
树华牛肉,潮汕牛肉火锅,179615193,329674355767016353789454960452192878330_a179615193_c8_e7659100798278394375
华莱士·全鸡汉堡（上义店）,汉堡,169025896,329674355767016353789454960452192878330_a169025896_c9_e7659100798278394375
贝多分卜卜贝,特色火锅,162775028,329674355767016353789454960452192878330_a162775028_c10_e7659100798278394375
大食八（榕城店）,饺子,178763150,329674355767016353789454960452192878330_a178763150_c11_e7659100798278394375
愿者上钩（揭阳东山店）,烤鱼,1193271759,112878875198594555302030475904819747906_a1193271759_c12_e7659100798278394375_v4892353965199669371__355
老地方鲜鱼馆（榕城店）,酸菜鱼/水煮鱼,41974222,329674355767016353789454960452192878330_a41974222_c13_e7659100798278394375
哇烤韩式自助烤肉（江南新城店）,烤肉自助,40295948,329674355767016353789454960452192878330_a40295948_c14_e7659100798278394375
